curb-weight,engine-size,horsepower,city-mpg,length,make,price
2548.0,130.0,111.0,21.0,168.8,alfa-romero,13495.0
2548.0,130.0,111.0,21.0,168.8,alfa-romero,16500.0
2823.0,152.0,154.0,19.0,171.2,alfa-romero,16500.0
2337.0,109.0,102.0,24.0,176.6,audi,13950.0
2824.0,136.0,115.0,18.0,176.6,audi,17450.0
2507.0,136.0,110.0,19.0,177.3,audi,15250.0
2844.0,136.0,110.0,19.0,192.7,audi,17710.0
2954.0,136.0,110.0,19.0,192.7,audi,18920.0
3086.0,131.0,140.0,17.0,192.7,audi,23875.0
2395.0,108.0,101.0,23.0,176.8,bmw,16430.0
2395.0,108.0,101.0,23.0,176.8,bmw,16925.0
2710.0,164.0,121.0,21.0,176.8,bmw,20970.0
2765.0,164.0,121.0,21.0,176.8,bmw,21105.0
3055.0,164.0,121.0,20.0,189.0,bmw,24565.0
3230.0,209.0,182.0,16.0,189.0,bmw,30760.0
3380.0,209.0,182.0,16.0,193.8,bmw,41315.0
3505.0,209.0,182.0,15.0,197.0,bmw,36880.0
1488.0,61.0,48.0,47.0,141.1,chevrolet,5151.0
1874.0,90.0,70.0,38.0,155.9,chevrolet,6295.0
1909.0,90.0,70.0,38.0,158.8,chevrolet,6575.0
1876.0,90.0,68.0,37.0,157.3,dodge,5572.0
1876.0,90.0,68.0,31.0,157.3,dodge,6377.0
2128.0,98.0,102.0,24.0,157.3,dodge,7957.0
1967.0,90.0,68.0,31.0,157.3,dodge,6229.0
1989.0,90.0,68.0,31.0,157.3,dodge,6692.0
1989.0,90.0,68.0,31.0,157.3,dodge,7609.0
2191.0,98.0,102.0,24.0,157.3,dodge,8558.0
2535.0,122.0,88.0,24.0,174.6,dodge,8921.0
2811.0,156.0,145.0,19.0,173.2,dodge,12964.0
1713.0,92.0,58.0,49.0,144.6,honda,6479.0
1819.0,92.0,76.0,31.0,144.6,honda,6855.0
1837.0,79.0,60.0,38.0,150.0,honda,5399.0
1940.0,92.0,76.0,30.0,150.0,honda,6529.0
1956.0,92.0,76.0,30.0,150.0,honda,7129.0
2010.0,92.0,76.0,30.0,163.4,honda,7295.0
2024.0,92.0,76.0,30.0,157.1,honda,7295.0
2236.0,110.0,86.0,27.0,167.5,honda,7895.0
